26,Golden 1 Center,17608,Sacramento
10,Chase Center,18064,San Francisco
1,State Farm Arena,16600,Atlanta
2,TD Garden,19156,Boston
21,Paycom Center,18203,Oklahoma CIty
29,Vivint Arena,18306,Salt Lake City
15,FedExForum,17794,Memphis
17,Fiserv Forum,17385,Milwaukee
12,Gainbridge Fieldhouse,17274,Indianapolis
20,Madison Square Garden,19812,New York
8,Ball Arena,19520,Denver
18,Target Center,18798,Minneapolis
23,Wells Fargo Center,21000,Philadelphia
19,Smoothie King Center,16867,New Orleans
7,American Airlines Center,21146,Dallas
24,Footprint Center,17071,Phoenix
13,Crypto.com Arena,19079,Los Angeles
25,Moda Center,19393,Portland
3,Barclays Center,17732,Brooklyn
30,Capital One Arena,20356,Washington
4,United Center,20917,Chicago
27,Frost Bank Center,18418,San Antonio
28,Scotiabank Arena,20511,Toronto
6,Rocket Mortgage Fieldhouse,19432,Cleveland
22,Amway Center,18846,Orlando
5,Spectrum Center,20200,Charlotte
11,Toyota Center,18104,Houston
9,Little Caesars Arena,20332,Detroit
16,Kaseya Center,19600,Miami
